Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Age Group,Has Dependents,Total Charges Per Month
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,34.827662,-118.999073,2,9,No Offer,Yes,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,0.0642168109653819,-0.7444471056611641,-0.24829533787400415,-0.2732809709900021,-0.4341639358026096,974.81,Stayed,35-44,0,1040.4099999999999
0003-MKNFE,Male,46,No,0,Glendale,91206,34.162515,-118.203869,0,9,No Offer,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-2.166213343264958,-0.7669074094380033,4.601998265647403,0.1250464045651686,-0.7711350712458993,610.28,Stayed,45-54,0,606.28
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,33.645672,-117.922613,0,4,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.33020201613940275,-0.882319834837459,-0.24829533787400415,-0.2732809709900021,-0.7257921974650795,415.45,Churned,45-54,0,489.35
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38.014457,-122.115432,1,13,Offer D,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.1025205034519199,-0.4600308227660423,-0.24829533787400415,-0.2732809709900021,-0.4576090007817519,1599.51,Churned,65+,0,1697.51
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,3,3,No Offer,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.6506661187587045,-0.8882548266999046,-0.24829533787400415,-0.2732809709900021,-0.8586200064098829,289.54,Churned,65+,0,373.43999999999994
0013-MHZWF,Female,23,No,3,Midpines,95345,37.581496,-119.972762,0,9,Offer E,Yes,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.18599316996071694,-0.7540887095417915,-0.24829533787400415,-0.2732809709900021,-0.7065046452681328,722.38,Stayed,18-24,1,791.78
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,34.757477,-120.550507,1,71,Offer A,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,1.477463503516503,2.4816070769966454,-0.24829533787400415,-0.2732809709900021,-0.04953494787023206,8611.41,Stayed,65+,0,8721.11
0014-BMAQU,Male,52,Yes,0,Napa,94558,38.489789,-122.27011,8,63,Offer B,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,0.6747009264551521,1.3667773230281703,-0.24829533787400415,0.5233737801203393,0.07958417069499912,6214.28,Stayed,45-54,0,6298.93
0015-UOCOJ,Female,68,No,0,Simi Valley,93063,34.296813,-118.685703,0,7,Offer E,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,-0.4933907275922029,-0.8560646663753385,-0.24829533787400415,-0.2732809709900021,-0.7977100819275468,414.06,Stayed,65+,0,462.26
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,38.984756,-121.345074,3,65,No Offer,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.860570105974347,1.6227541839504573,-0.24829533787400415,-0.2732809709900021,1.300168505745138,7807.8,Stayed,35-44,1,7898.25
